Rama de actividad,Remuneración (pesos)
Extraccion de petroleo y gas,1463041
Transporte aéreo,1135913
Extraccion de minerales metaliferos,1093017
Transporte marítimo y fluvial,1088246
Productos de petróleo,1008063
Intermediacion financiera,990825
"Electricidad, gas y agua",877577
Pesca y actividades relacionadas,825706
Productos químicos,760506
Actividades de informática,715716
Investigación y desarrollo,698263
"Captación, depuración y distribución de agua",676831
Metales comunes,670200
Tabaco,666897
Automotores,658441
Explotacion de otras minas y canteras,645535
Promedio de todas las actividades,526295
Otras actividades (promedio),387444
