Año,Peces,Crustáceos,Moluscos
1989,464940.6,11782.6,26587.3
1990,538358.1,10116.2,34817.5
1991,645879.7,8990.9,49509.9
1992,625142.4,25077.2,80922.8
1993,753114.9,20088.4,197423.9
1994,761522.9,22241.2,200549.6
1995,937560.7,7275.6,203843.2
1996,940555.1,10730.7,298259.1
1997,916179.0,7811.4,419229.1
1998,799496.4,23959.9,296695.6
1999,645776.9,23361.9,350597.9
2000,533721.1,37574.1,286073.7
2001,573839.5,79494.2,237434.2
2002,652655.3,52277.9,184731.4
2003,639474.2,55036.6,148211.7
2004,765457.9,28651.0,83281.7
2005,707013.2,8710.7,152645.0
2006,723974.4,45803.0,303977.4
2007,629600.1,48433.1,241126.2
2008,619682.1,48621.6,265044.9
2009,637547.2,54302.4,80630.7
2010,597148.5,73891.3,94205.3
2011,563305.9,86396.7,84164.0
2012,507076.1,84530.5,100656.0
2013,520363.6,105897.4,197883.1
2014,484867.2,132641.8,173630.8
2015,489441.7,147025.0,131182.5
2016,459687.5,181076.9,64949.7
2017,428571.0,245608.2,104781.6
2018,422064.6,257375.1,112216.2
2019,463297.3,218019.0,99910.4
2020,426972.3,186244.2,176539.9
2021,432897.5,225704.7,139450.5
2022,411373.3,212090.7,174429.8
2023,418518.4,202347.4,158830.2
