Año,Pesca y recolección,Acuicultura,Servicios,Elaboración y procesamiento
1996,8452.75,90.0,416.75,6243.0
1997,9482.0,46.5,428.5,6702.5
1998,9333.5,66.75,478.5,6568.25
1999,8574.5,86.0,491.25,6008.0
2000,8361.5,74.75,508.5,5584.5
2001,9822.75,65.25,412.0,5836.25
2002,11757.75,56.0,566.5,6480.0
2003,13327.5,54.5,529.0,7696.0
2004,14411.75,56.75,402.75,8310.75
2005,14692.75,65.75,323.25,8634.5
2006,15599.75,95.25,316.75,9400.0
2007,15361.5,108.0,306.25,9425.25
2008,14575.25,93.5,344.75,9542.5
2009,13604.0,111.25,404.75,9352.5
2010,13455.0,89.75,416.5,9546.75
2011,13962.75,71.25,471.5,9743.0
2012,13016.75,76.5,415.5,9200.25
2013,12744.25,81.25,395.5,8818.75
2014,12601.25,77.75,372.0,9388.25
2015,12612.0,80.0,330.0,9421.5
2016,11847.25,76.0,320.0,9782.25
2017,11790.25,72.5,325.25,10415.5
2018,12080.5,65.0,358.75,10796.75
2019,12089.0,61.75,391.75,10685.25
2020,11905.5,62.75,346.5,11129.0
2021,12536.5,102.5,304.75,11873.25
2022,12329.25,209.5,332.75,11914.0
