Evolución exportaciones pesqueras en millones de dólares,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Merluza hubbsi,Langostino,Calamar,Otras especies
2001.0,23804,375590,123967,371639
2002.0,35709,161115,102552,418624
2003.0,123090,380592,84302,298017
2004.0,134167,213685,51623,417525
2005.0,252188,84305,92353,382154
2006.0,311731,371232,176360,389677
2007.0,326857,291902,149391,335850
2008.0,330372,402507,156985,409136
2009.0,345395,326757,68055,378793
2010.0,347278,474096,122663,376963
2011.0,375539,515544,122701,476216
2012.0,293318,476068,156576,406038
2013.0,291890,615058,235423,359629
2014.0,291400,755610,164694,368296
2015.0,245432,763861,104528,352179
2016.0,250573,1007435,96715,369277
2017.0,249360,1200161,182403,346076
2018.0,252136,1300470,238148,357246
2019.0,276098,1052173,210360,324369
2020.0,221100,829968,395846,282086
2021.0,258890,1197234,249005,284871
2022.0,268451,943673,314783,296093
2023.0,278462,910327,314373,272838
