Año,Merluza hubbsi,Langostino,Calamar,Otras especies,Millones de dolares,Toneladas,Precio promedio
2001.0,23803.6,375590,123967,371639.4,895000,453515,1.9734738652525274
2002.0,35709.2,161115,102552,418623.80000000005,718000,456431,1.57307457206018
2003.0,123089.5,380592,84302,298016.5,886000,487183,1.8186184657510627
2004.0,134167.3,213685,51623,417524.69999999995,817000,494220,1.6531099510339524
2005.0,252187.8,84305,92353,382154.19999999995,811000,495580,1.6364663626457887
2006.0,311731,371232,176360,389677,1249000,627469,1.9905365842774703
2007.0,326857,291902,149391,335850,1104000,540367,2.0430559231041125
2008.0,330372,402507,156985,409136,1299000,561601,2.3130300693909023
2009.0,345395,326757,68055,378793,1119000,484816,2.3080921421735257
2010.0,347278,474096,122663,376963,1321000,456471,2.8939406884555647
2011.0,375539,515544,122701,476216,1490000,464630,3.2068527645653533
2012.0,293318,476068,156576,406038,1332000,431668,3.0857047545799086
2013.0,291890,615058,235423,359629,1502000,504165,2.979183402259181
2014.0,291400,755610,164694,368296,1580000,493244,3.2032827566072775
2015.0,245432,763861,104528,352179,1466000,460485,3.1835999001053237
2016.0,250573,1007435,96715,369277,1724000,449889,3.8320563516778585
2017.0,249360,1200161,182403,346076,1978000,475591,4.159035810181438
2018.0,252136,1300470,238148,357246,2148000,489173,4.391084544731618
2019.0,276098,1052173,210360,324369,1863000,479832,3.8826089131195918
2020.0,221100,829968,395846,282086,1729000,498458,3.4686974629758174
2021.0,258890,1197234,249005,284871,1990000,515250,3.8622028141678797
2022.0,268451,943673,314783,296093,1823000,490357,3.7176995535905473
2023.0,278462,910327,314373,272838,1776000,490080,3.623898139079334
